pair_id,original_drug_id,original_drug_name,side,atc_code,alternative_drug_id,alternative_drug_name,source_url,scraped_at
951890,DDInter1951,Warfarin,B,B01A,DDInter621,Edoxaban,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter645,Enoxaparin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter775,Fondaparinux,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter857,Heparin (flush),https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1037,Lepirudin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1508,Prasugrel,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1542,Protein C,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1585,Reteplase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1609,Rivaroxaban,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1656,Selexipag,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1712,Streptokinase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1764,Tenecteplase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1802,Ticagrelor,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1812,Tinzaparin,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
951890,DDInter1951,Warfarin,B,B01A,DDInter1905,Urokinase,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
